latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
33.667957,-117.82831,24.0,0,GMT,GMT

time,temperature_2m (Â°C)
2023-02-04T00:00,19.5
2023-02-04T01:00,17.0
2023-02-04T02:00,15.5
2023-02-04T03:00,15.3
2023-02-04T04:00,13.8
2023-02-04T05:00,12.9
2023-02-04T06:00,12.0
2023-02-04T07:00,11.9
2023-02-04T08:00,11.1
2023-02-04T09:00,9.6
2023-02-04T10:00,8.1
2023-02-04T11:00,7.6
2023-02-04T12:00,7.2
2023-02-04T13:00,6.7
2023-02-04T14:00,6.7
2023-02-04T15:00,6.1
2023-02-04T16:00,9.1
2023-02-04T17:00,13.3
2023-02-04T18:00,16.7
2023-02-04T19:00,19.4
2023-02-04T20:00,20.1
2023-02-04T21:00,20.4
2023-02-04T22:00,20.3
2023-02-04T23:00,19.5
2023-02-05T00:00,19.2
2023-02-05T01:00,16.7
2023-02-05T02:00,13.7
2023-02-05T03:00,12.4
2023-02-05T04:00,11.5
2023-02-05T05:00,10.9
2023-02-05T06:00,10.9
2023-02-05T07:00,10.8
2023-02-05T08:00,10.3
2023-02-05T09:00,9.8
2023-02-05T10:00,9.4
2023-02-05T11:00,10.9
2023-02-05T12:00,11.3
2023-02-05T13:00,11.6
2023-02-05T14:00,11.8
2023-02-05T15:00,11.8
2023-02-05T16:00,12.2
2023-02-05T17:00,14.0
2023-02-05T18:00,15.0
2023-02-05T19:00,16.3
2023-02-05T20:00,17.6
2023-02-05T21:00,17.1
2023-02-05T22:00,16.5
2023-02-05T23:00,16.1
2023-02-06T00:00,15.2
2023-02-06T01:00,14.1
2023-02-06T02:00,12.2
2023-02-06T03:00,11.0
2023-02-06T04:00,10.1
2023-02-06T05:00,9.4
2023-02-06T06:00,8.8
2023-02-06T07:00,8.3
2023-02-06T08:00,8.0
2023-02-06T09:00,7.5
2023-02-06T10:00,7.0
2023-02-06T11:00,6.9
2023-02-06T12:00,6.3
2023-02-06T13:00,5.6
2023-02-06T14:00,5.3
2023-02-06T15:00,4.2
2023-02-06T16:00,7.0
2023-02-06T17:00,14.6
2023-02-06T18:00,17.0
2023-02-06T19:00,14.5
2023-02-06T20:00,15.5
2023-02-06T21:00,16.3
2023-02-06T22:00,16.8
2023-02-06T23:00,16.8
2023-02-07T00:00,16.2
2023-02-07T01:00,15.2
2023-02-07T02:00,14.3
2023-02-07T03:00,14.0
2023-02-07T04:00,13.9
2023-02-07T05:00,13.7
2023-02-07T06:00,13.5
2023-02-07T07:00,13.4
2023-02-07T08:00,13.4
2023-02-07T09:00,13.4
2023-02-07T10:00,13.3
2023-02-07T11:00,13.1
2023-02-07T12:00,12.9
2023-02-07T13:00,12.7
2023-02-07T14:00,12.5
2023-02-07T15:00,12.5
2023-02-07T16:00,13.3
2023-02-07T17:00,14.9
2023-02-07T18:00,16.6
2023-02-07T19:00,18.0
2023-02-07T20:00,19.0
2023-02-07T21:00,19.6
2023-02-07T22:00,19.9
2023-02-07T23:00,19.8
2023-02-08T00:00,19.1
2023-02-08T01:00,18.0
2023-02-08T02:00,17.1
2023-02-08T03:00,16.5
2023-02-08T04:00,16.0
2023-02-08T05:00,15.6
2023-02-08T06:00,15.3
2023-02-08T07:00,15.1
2023-02-08T08:00,15.0
2023-02-08T09:00,14.9
2023-02-08T10:00,14.7
2023-02-08T11:00,14.5
2023-02-08T12:00,14.3
2023-02-08T13:00,14.1
2023-02-08T14:00,13.9
2023-02-08T15:00,13.8
2023-02-08T16:00,14.7
2023-02-08T17:00,16.2
2023-02-08T18:00,17.7
2023-02-08T19:00,19.3
2023-02-08T20:00,20.4
2023-02-08T21:00,20.7
2023-02-08T22:00,20.4
2023-02-08T23:00,19.9
2023-02-09T00:00,19.1
2023-02-09T01:00,18.3
2023-02-09T02:00,17.4
2023-02-09T03:00,17.0
2023-02-09T04:00,16.7
2023-02-09T05:00,16.5
2023-02-09T06:00,16.3
2023-02-09T07:00,16.2
2023-02-09T08:00,16.1
2023-02-09T09:00,16.0
2023-02-09T10:00,15.9
2023-02-09T11:00,15.7
2023-02-09T12:00,15.5
2023-02-09T13:00,15.1
2023-02-09T14:00,14.7
2023-02-09T15:00,15.0
2023-02-09T16:00,16.4
2023-02-09T17:00,18.5
2023-02-09T18:00,21.1
2023-02-09T19:00,22.4
2023-02-09T20:00,23.5
2023-02-09T21:00,24.4
2023-02-09T22:00,24.5
2023-02-09T23:00,24.2
2023-02-10T00:00,23.5
2023-02-10T01:00,22.7
2023-02-10T02:00,21.6
2023-02-10T03:00,20.3
2023-02-10T04:00,19.6
2023-02-10T05:00,19.0
2023-02-10T06:00,18.3
2023-02-10T07:00,17.8
2023-02-10T08:00,17.4
2023-02-10T09:00,16.9
2023-02-10T10:00,16.5
2023-02-10T11:00,16.1
2023-02-10T12:00,15.7
2023-02-10T13:00,15.3
2023-02-10T14:00,14.8
2023-02-10T15:00,14.8
2023-02-10T16:00,15.5
2023-02-10T17:00,16.7
2023-02-10T18:00,18.3
2023-02-10T19:00,19.6
2023-02-10T20:00,21.1
2023-02-10T21:00,22.2
2023-02-10T22:00,22.1
2023-02-10T23:00,21.3
